char,code_aozora,count_aozora,code_news,count_news,code_wikipedia,count_wikipedia
䖯,45af,1.0,,0.0,,0.0
䖷,45b7,1.0,,0.0,,0.0
䖹,45b9,1.0,,0.0,,0.0
䖽,45bd,6.0,,0.0,,0.0
䗁,45c1,1.0,,0.0,,0.0
瓲,74f2,5.0,,0.0,,0.0
瓷,74f7,13.0,,0.0,74f7,15.0
瓿,,0.0,,0.0,74ff,1.0
甂,,0.0,,0.0,7502,1.0
甃,7503,129.0,,0.0,7503,3.0
甄,7504,28.0,,0.0,7504,52.0
甌,750c,23.0,,0.0,750c,35.0
甍,750d,284.0,,0.0,750d,13.0
璵,74b5,6.0,,0.0,74b5,5.0
璸,,0.0,,0.0,74b8,1.0
瓣,74e3,122.0,,0.0,74e3,13.0
瓩,74e9,67.0,,0.0,74e9,7.0
瓫,,0.0,,0.0,74eb,3.0
瓮,74ee,37.0,,0.0,74ee,7.0
瓰,74f0,2.0,,0.0,,0.0
瓱,74f1,1.0,,0.0,,0.0
䗪,45ea,18.0,,0.0,,0.0
䗭,45ed,2.0,,0.0,,0.0
䗰,45f0,2.0,,0.0,,0.0
䗱,45f1,279.0,,0.0,,0.0
䗴,45f4,2.0,,0.0,,0.0
䗶,45f6,30.0,,0.0,,0.0
䗹,45f9,3.0,,0.0,,0.0
䗺,45fa,4.0,,0.0,,0.0
䗻,45fb,13.0,,0.0,,0.0
䖭,45ad,3.0,,0.0,,0.0
甴,,0.0,,0.0,7534,2.0
电,,0.0,,0.0,7535,19.0
甽,,0.0,,0.0,753d,1.0
甾,,0.0,,0.0,753e,1.0
甎,750e,18.0,,0.0,750e,4.0
甑,7511,41.0,,0.0,7511,204.0
甓,7513,4.0,,0.0,,0.0
甕,7515,666.0,,0.0,7515,244.0
甜,751c,181.0,,0.0,751c,93.0
甝,,0.0,,0.0,751d,1.0
甞,751e,367.0,,0.0,,0.0
產,,0.0,,0.0,7522,20.0
甦,7526,806.0,,0.0,7526,253.0
甩,,0.0,,0.0,7529,1.0
