char,aozora_char_count,news_char_count,wiki_char_count,aozora_doc_count,news_doc_count,wiki_doc_count,total_char_count,total_doc_count,aozora_char_freq,news_char_freq,wiki_char_freq,aozora_doc_freq,news_doc_freq,wiki_doc_freq,total_char_freq,total_doc_freq
外,133019.0,1741.0,142157.0,11902.0,1063.0,64434.0,276917.0,77399.0,0.000980893536870297,0.000778843375089359,0.0011986052378973855,0.0012619659865070792,0.0022768455728954706,0.003636692838919804,0.001079819826764327,0.002802693343437644
書,151799.0,960.0,118323.0,10845.0,416.0,28679.0,271082.0,39940.0,0.0011193788707130124,0.00042945987368511463,0.000997647443064586,0.0011498925494596937,0.0008910326983297421,0.001618659619570119,0.00105706662385815,0.0014462663876393688
度,164698.0,2488.0,103660.0,12672.0,1089.0,29156.0,270846.0,42917.0,0.0012144972051771864,0.0011130168393005888,0.0008740154826033399,0.0013436088876674264,0.0023325351165410795,0.0016455817799848806,0.0010561463572110448,0.00155406646365345
世,137741.0,1382.0,129358.0,11442.0,611.0,32714.0,268481.0,44767.0,0.001015713970651197,0.0006182432764925296,0.001090689704790689,0.0012131923052944042,0.0013087042756718087,0.001846397391632096,0.0010469241935652678,0.0016210567695406014
当,130930.0,2605.0,133523.0,10413.0,1453.0,37766.0,267058.0,49632.0,0.0009654890713539267,0.001165357261405962,0.0011258071511059786,0.0011040877010164859,0.003112188727579604,0.0021315352415595076,0.0010413752976380203,0.0017972231685357324
実,150597.0,1922.0,108714.0,10469.0,1032.0,32066.0,261233.0,43567.0,0.0011105152194202039,0.0008598144554404066,0.0009166285855271029,0.0011100253665554203,0.0022104465016257063,0.0018098238906912878,0.0010186610890812967,0.001577603598154341
云,258624.0,0.0,685.0,7529.0,0.0,402.0,259309.0,7931.0,0.001907115600625051,0.0,5.775618421602236e-06,0.0007982979257613677,0.0,2.2689116324390247e-05,0.0010111585762464235,0.0002871892518870264
持,181590.0,1236.0,76306.0,12432.0,745.0,24906.0,259132.0,38083.0,0.0013390602647762892,0.0005529295873695851,0.0006433785974872704,0.001318161749643422,0.0015957196159991774,0.0014057092815305062,0.0010104683762610948,0.0013790226049191308
川,86138.0,1926.0,169598.0,8054.0,679.0,32172.0,257662.0,40905.0,0.0006351890141929622,0.0008616038715807613,0.0014299756687107972,0.0008539635401888771,0.0014543538513603243,0.0018158065930056792,0.0010047362068914152,0.0014812099796291532
体,113031.0,2030.0,137596.0,9793.0,1059.0,34443.0,252657.0,45295.0,0.0008335003072191682,0.000908128691229982,0.001160148893925228,0.0010383492611211415,0.002268277950796146,0.0019439831680621226,0.000985219534989887,0.0016401761649505562
理,133009.0,2090.0,116257.0,10834.0,953.0,33888.0,251356.0,45675.0,0.0009808197960109557,0.0009349699333353017,0.000980227840642644,0.00114872622230026,0.0020412359651640487,0.0019126586417933748,0.0009801463701259734,0.0016539363358895386
